order_id,customers,city,state,order_date,total_units,revenue,product_name,category_name,brand_name,store_name,sales_rep
1,Johnathan Velazquez,Pleasanton,CA,1/1/2016,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,Santa Cruz Bikes,Mireya Copeland
1,Johnathan Velazquez,Pleasanton,CA,1/1/2016,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,Santa Cruz Bikes,Mireya Copeland
1,Johnathan Velazquez,Pleasanton,CA,1/1/2016,2,3098,Surly Straggler - 2016,Cyclocross Bicycles,Surly,Santa Cruz Bikes,Mireya Copeland
1,Johnathan Velazquez,Pleasanton,CA,1/1/2016,1,2899.99,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Trek,Santa Cruz Bikes,Mireya Copeland
1,Johnathan Velazquez,Pleasanton,CA,1/1/2016,2,3599.98,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,Santa Cruz Bikes,Mireya Copeland
2,Jaqueline Cummings,Huntington Station,NY,1/1/2016,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene Boyer
2,Jaqueline Cummings,Huntington Station,NY,1/1/2016,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene Boyer
3,Joshua Robertson,Patchogue,NY,2/1/2016,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Venita Daniel
3,Joshua Robertson,Patchogue,NY,2/1/2016,1,999.99,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,Baldwin Bikes,Venita Daniel
4,Nova Hess,Duarte,CA,3/1/2016,2,1499.98,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Ritchey,Santa Cruz Bikes,Genna Serrano
5,Arla Ellis,Utica,NY,3/1/2016,1,599.99,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Electra,Baldwin Bikes,Marcelene Boyer
5,Arla Ellis,Utica,NY,3/1/2016,1,429,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,Baldwin Bikes,Marcelene Boyer
5,Arla Ellis,Utica,NY,3/1/2016,2,3098,Surly Straggler - 2016,Cyclocross Bicycles,Surly,Baldwin Bikes,Marcelene Boyer
6,Sharyn Hopkins,Baldwinsville,NY,4/1/2016,2,1099.98,Electra Townie Original 21D - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene Boyer
6,Sharyn Hopkins,Baldwinsville,NY,4/1/2016,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene Boyer
6,Sharyn Hopkins,Baldwinsville,NY,4/1/2016,1,449,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Pure Cycles,Baldwin Bikes,Marcelene Boyer
6,Sharyn Hopkins,Baldwinsville,NY,4/1/2016,2,1999.98,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,Baldwin Bikes,Marcelene Boyer
6,Sharyn Hopkins,Baldwinsville,NY,4/1/2016,2,5999.98,Trek Conduit+ - 2016,Electric Bikes,Trek,Baldwin Bikes,Marcelene Boyer
7,Laureen Paul,Bellmore,NY,4/1/2016,1,529.99,Electra Moto 1 - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene Boyer
7,Laureen Paul,Bellmore,NY,4/1/2016,2,858,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,Baldwin Bikes,Marcelene Boyer
7,Laureen Paul,Bellmore,NY,4/1/2016,1,999.99,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,Baldwin Bikes,Marcelene Boyer
8,Leslie Higgins,Saratoga Springs,NY,4/1/2016,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,Baldwin Bikes,Venita Daniel
8,Leslie Higgins,Saratoga Springs,NY,4/1/2016,2,1199.98,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Venita Daniel
9,Neil Mccall,San Carlos,CA,5/1/2016,2,7999.98,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,Santa Cruz Bikes,Mireya Copeland
10,Alane Munoz,Yonkers,NY,5/1/2016,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene Boyer
11,Tarra Guerrero,Auburn,NY,5/1/2016,2,539.98,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,Baldwin Bikes,Venita Daniel
11,Tarra Guerrero,Auburn,NY,5/1/2016,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Venita Daniel
11,Tarra Guerrero,Auburn,NY,5/1/2016,1,1799.99,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,Baldwin Bikes,Venita Daniel
12,Marvin Mullins,San Diego,CA,6/1/2016,1,1680.99,Surly Straggler 650b - 2016,Cyclocross Bicycles,Surly,Santa Cruz Bikes,Mireya Copeland
12,Marvin Mullins,San Diego,CA,6/1/2016,2,5799.98,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Trek,Santa Cruz Bikes,Mireya Copeland
13,Patience Clayton,Niagara Falls,NY,8/1/2016,1,269.99,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene Boyer
13,Patience Clayton,Niagara Falls,NY,8/1/2016,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene Boyer
13,Patience Clayton,Niagara Falls,NY,8/1/2016,2,1199.98,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene Boyer
13,Patience Clayton,Niagara Falls,NY,8/1/2016,2,858,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,Baldwin Bikes,Marcelene Boyer
14,Maribel William,Torrance,CA,9/1/2016,1,469.99,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,Surly,Santa Cruz Bikes,Genna Serrano
15,Ellsworth Michael,Carmel,NY,9/1/2016,2,599.98,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Electra,Baldwin Bikes,Venita Daniel
15,Ellsworth Michael,Carmel,NY,9/1/2016,2,1099.98,Electra Townie Original 21D - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Venita Daniel
